"","cong.chamb","pct.passrej","inf.adj.faminc","maj.size","memberparty01","presparty","majinchamb","otherch.samepartymaj","presmajpartysame"
"1","111_House",0.795,60877,45,0,0,1,1,1
"2","111_House",0.205,63651,-35,1,0,0,0,0
"3","111_Senate",0.456,64641,16,0,0,1,1,1
"4","111_Senate",0.544,56708,-6,1,0,0,0,0
"5","112_House",0.481,64646,-18,0,0,0,1,0
"6","112_House",0.519,58714,27,1,0,1,0,0
"7","112_Senate",0.379,64298,3,0,0,1,0,1
"8","112_Senate",0.621,56559,-2,1,0,0,1,0
"9","113_House",0.387,59867,-14,0,0,0,1,0
"10","113_House",0.613,59613,22,1,0,1,0,0
"11","113_Senate",0.471,62325,7,0,0,1,0,1
"12","113_Senate",0.529,55114,-4,1,0,0,1,0
"13","114_House",0.382,61490,-28,0,0,0,0,0
"14","114_House",0.618,60927,33,1,0,1,1,0
"15","114_Senate",0.494,64722,-6,0,0,0,0,0
"16","114_Senate",0.506,56098,4,1,0,1,1,0
"17","115_House",0.307,66102,-18,0,1,0,0,0
"18","115_House",0.693,63158,32,1,1,1,1,1
"19","115_Senate",0.362,68080,-2,0,1,0,0,0
"20","115_Senate",0.638,58476,5,1,1,1,1,1
"21","116_House",0.759,70852,17,0,1,1,0,0
"22","116_House",0.241,61619,-15,1,1,0,1,0
"23","116_Senate",0.359,70177,-5,0,1,0,1,0
"24","116_Senate",0.641,59692,4,1,1,1,0,1
